N_Awal,P_Awal,K_Awal,N_Target,P_Target,K_Target,Dosis_Pupuk_Gram
17.6,22.9,45.2,34.5,45.6,94.2,1.9
14.2,23.0,45.2,33.9,45.4,93.7,1.9
16.8,21.6,48.6,35.0,46.6,92.4,1.9
15.8,21.8,46.2,35.5,46.2,96.4,1.9
16.6,21.6,46.9,33.1,44.6,93.3,1.9
15.1,23.1,44.4,33.8,45.7,95.1,1.9
15.8,22.4,47.4,31.2,44.6,89.9,2.0
15.5,22.5,46.8,32.4,42.7,96.1,2.0
15.5,24.8,46.4,33.2,48.1,94.1,2.0
16.7,25.1,45.7,32.7,47.8,93.4,2.0
14.8,20.6,45.2,32.4,46.1,95.9,2.0
15.4,21.2,46.2,30.4,45.0,94.2,2.0
17.2,23.5,48.0,34.2,42.5,95.2,2.0
15.9,22.6,48.4,36.2,45.2,93.0,2.0
17.4,22.2,47.4,30.9,44.2,96.8,2.0
17.4,25.2,47.0,33.4,48.9,92.9,2.0
18.7,22.8,45.7,33.0,47.3,91.6,2.0
15.8,23.2,43.9,31.6,48.1,95.3,2.0
15.6,21.3,44.8,33.2,46.8,97.8,2.0
16.7,23.8,46.3,30.9,48.5,97.3,2.0
14.8,22.9,46.1,32.8,45.2,91.8,2.0
15.5,22.7,47.2,34.0,46.1,92.2,2.0
15.6,22.0,46.5,31.2,46.0,93.4,2.0
17.4,24.9,44.8,31.2,46.6,90.0,2.0
15.1,23.1,44.8,33.7,44.4,95.8,2.0
15.5,23.1,45.6,32.6,43.8,95.2,2.0
16.5,24.1,45.0,32.7,46.2,90.4,2.0
14.9,22.9,45.3,34.7,48.9,90.3,2.0
15.2,23.7,45.3,35.7,45.9,90.3,2.0
16.3,22.6,47.2,33.0,47.8,91.2,2.0
16.0,21.1,46.5,33.8,45.4,92.9,2.0
15.5,23.3,46.8,35.7,44.1,90.4,2.0
14.8,22.7,47.4,32.7,44.0,93.0,2.0
15.7,23.7,45.9,31.0,42.8,97.4,2.0
16.5,22.2,44.1,32.7,46.8,90.0,2.0
15.1,24.2,47.4,33.4,45.3,92.2,2.0
18.3,22.5,45.0,34.3,45.3,87.5,2.0
17.6,23.7,44.5,33.5,48.2,92.6,2.0
16.2,21.2,45.4,31.9,47.8,84.6,2.0
15.2,24.9,48.9,32.5,45.2,91.0,2.0
16.5,22.5,45.1,31.2,49.0,91.5,2.0
15.0,21.7,43.7,34.4,46.1,91.3,2.0
17.7,23.8,46.1,32.9,43.5,91.9,2.0
16.0,21.2,46.7,32.8,49.6,94.3,2.0
16.0,22.4,42.4,34.1,44.6,93.6,2.0
16.4,21.8,46.7,32.6,47.8,90.8,2.0
17.3,22.0,46.9,32.6,44.0,96.7,2.0
17.3,22.0,45.6,33.7,47.2,87.6,2.0
14.1,24.0,44.1,36.9,46.5,91.5,2.0
17.1,22.4,46.6,31.4,45.2,96.9,2.0
17.3,23.6,46.9,32.0,46.2,92.9,2.0
15.3,22.2,46.3,32.4,47.4,92.4,2.0
16.4,22.7,46.4,34.3,45.5,89.1,2.0
15.7,21.6,47.2,34.3,47.9,90.9,2.0
17.8,23.1,46.8,35.1,45.2,92.0,2.0
15.2,22.2,45.2,31.1,47.2,89.9,2.0
17.5,20.6,47.6,33.0,43.6,96.8,2.1
16.4,22.4,47.9,32.1,48.2,93.7,2.1
17.1,24.9,45.3,31.5,47.7,97.3,2.1
16.3,22.2,48.1,34.7,46.3,97.6,2.1
17.0,24.0,46.3,32.6,43.7,92.4,2.1
16.0,22.5,46.3,35.3,43.8,92.6,2.1
16.3,21.7,46.0,34.3,45.6,94.4,2.1
16.4,22.2,48.0,33.1,46.2,94.0,2.1
15.3,21.2,47.2,31.6,45.1,102.3,2.1
14.8,20.6,43.9,30.2,46.0,100.4,2.1
17.0,24.0,48.8,34.7,48.8,92.4,2.1
15.9,22.3,45.8,32.9,41.9,91.5,2.1
17.4,23.0,46.2,35.0,49.1,93.4,2.1
14.9,22.1,45.9,34.7,46.6,100.1,2.1
14.9,23.4,47.3,34.0,49.0,93.9,2.1
15.7,21.7,47.3,30.4,46.5,89.2,2.1
14.9,22.9,44.9,33.5,43.9,96.6,2.1
17.7,22.5,46.6,32.8,47.5,95.5,2.1
16.2,20.8,46.6,32.7,46.9,95.3,2.1
17.8,23.1,45.8,33.9,45.1,90.1,2.1
16.5,22.0,46.9,31.6,44.9,97.9,2.1
15.9,22.0,42.2,32.1,49.5,98.0,2.1
16.0,21.2,45.7,31.1,43.8,94.4,2.1
16.2,21.2,47.5,34.1,47.6,88.2,2.1
15.9,20.3,46.6,34.5,44.7,91.6,2.1
15.7,21.1,44.6,32.9,48.4,90.7,2.1
16.5,22.2,44.2,31.5,48.5,91.9,2.1
17.1,21.7,45.4,33.1,47.7,90.3,2.1
16.0,22.7,42.6,34.1,45.2,94.1,2.1
15.4,22.3,46.6,30.6,47.7,97.1,2.1
16.0,23.3,49.9,34.3,42.4,91.3,2.1
17.7,22.7,44.8,33.0,43.7,95.2,2.1
16.7,23.6,47.9,34.7,47.8,90.9,2.1
15.1,23.0,44.1,33.2,45.8,97.6,2.1
16.8,21.4,48.3,34.9,46.0,97.8,2.1
16.0,22.7,45.1,35.6,48.3,91.7,2.1
16.7,22.2,46.0,35.8,46.8,85.8,2.1
16.6,22.3,46.1,32.8,48.1,97.3,2.1
16.8,24.1,48.0,33.3,44.9,95.7,2.1
17.0,22.1,44.6,32.3,48.1,91.1,2.1
16.2,22.7,45.6,33.7,41.2,88.7,2.1
16.9,22.6,47.9,30.9,44.9,95.1,2.1
14.9,22.5,47.8,33.9,45.0,93.1,2.1
17.7,22.4,48.3,34.3,49.3,93.0,2.1
16.1,22.8,48.1,33.3,47.9,98.4,2.1
15.9,22.8,47.9,33.1,43.9,100.4,2.1
14.5,22.3,46.5,32.4,44.5,94.7,2.1
16.4,24.0,45.7,32.9,43.4,98.7,2.1
15.2,24.1,45.2,32.0,47.0,93.3,2.1
15.7,20.8,48.7,30.5,49.2,92.4,2.1
16.8,22.5,43.6,31.8,47.2,97.9,2.2
16.5,23.3,47.6,32.5,47.5,92.8,2.2
16.3,23.7,49.7,31.9,51.5,97.5,2.2
16.5,23.0,46.1,31.6,46.7,88.1,2.2
17.8,22.0,46.8,32.7,43.0,96.3,2.2
15.6,21.8,45.5,31.4,48.0,94.0,2.2
16.3,21.5,48.8,34.3,44.5,94.0,2.2
18.1,23.1,44.7,32.4,45.8,92.3,2.2
16.0,21.8,46.6,35.4,47.5,96.0,2.2
17.9,22.5,46.6,32.9,50.8,91.4,2.2
13.6,21.9,44.7,35.0,45.9,97.8,2.2
17.0,22.8,45.1,31.8,46.7,96.3,2.2
17.1,22.6,44.8,34.3,47.4,98.0,2.2
16.6,23.3,46.1,32.7,46.0,94.2,2.2
15.4,20.8,45.1,33.7,47.4,93.6,2.2
16.8,23.1,44.5,34.4,45.7,94.5,2.2
15.5,23.8,45.9,35.2,49.4,91.8,2.2
15.2,22.2,46.2,30.4,44.3,94.4,2.2
17.8,24.0,46.6,35.9,46.6,98.4,2.2
16.3,24.3,47.4,30.8,48.1,98.3,2.2
13.8,22.1,47.9,34.6,49.3,96.2,2.2
18.1,24.3,44.8,32.5,46.7,92.1,2.2
16.8,23.4,46.6,33.9,45.8,97.0,2.2
15.9,21.0,43.9,38.1,45.1,90.1,2.2
16.9,22.1,45.9,32.2,45.3,92.3,2.2
16.7,20.7,42.6,35.1,45.6,94.4,2.2
16.5,23.4,45.8,34.2,48.1,101.4,2.2
16.8,24.7,46.6,34.2,50.5,88.8,2.2
16.4,20.4,44.4,36.2,45.9,95.1,2.2
16.7,23.4,45.9,32.1,48.8,97.8,2.2
16.1,23.3,45.5,35.5,47.2,95.4,2.2
17.0,22.5,45.4,35.2,44.9,91.9,2.2
17.7,24.1,48.5,35.1,45.9,94.6,2.2
15.4,20.2,48.6,33.3,49.6,92.3,2.2
17.0,22.2,44.2,32.4,46.9,92.5,2.2
14.2,21.2,46.4,34.4,44.3,92.7,2.2
15.8,24.6,48.9,30.8,44.2,95.2,2.2
15.7,21.1,46.1,32.4,48.2,97.4,2.2
15.6,21.4,46.3,33.5,46.3,96.5,2.2
14.6,22.0,45.7,34.3,44.8,98.0,2.2
15.5,25.0,46.8,32.8,46.0,100.8,2.2
15.3,21.5,45.0,33.9,48.1,102.8,2.2
18.0,22.7,45.7,33.8,43.7,95.3,2.2
18.2,24.5,46.5,32.8,48.9,92.7,2.2
15.5,22.1,44.1,33.7,49.2,98.5,2.2
15.9,21.2,44.8,34.3,48.5,91.1,2.2
14.7,22.8,46.1,34.5,45.7,94.3,2.2
15.5,21.1,48.8,32.6,46.8,95.7,2.2
19.9,21.3,46.8,32.8,46.9,98.2,2.2
15.2,22.6,43.9,32.7,46.1,93.0,2.2
15.9,22.2,46.6,35.6,47.9,97.7,2.3
15.4,20.5,48.1,32.4,47.0,93.9,2.3
15.1,21.5,50.0,33.1,50.1,99.6,2.3
15.7,23.0,45.1,36.8,47.7,97.2,2.3
15.2,22.5,44.5,31.1,45.1,96.5,2.3
16.3,23.5,46.8,33.0,49.5,97.2,2.3
15.0,22.2,47.6,36.3,46.8,95.1,2.3
17.4,20.8,47.5,36.1,49.7,91.1,2.3
17.5,21.1,45.1,33.6,49.2,92.4,2.3
18.1,25.3,46.3,32.6,44.3,96.7,2.3
16.0,22.8,46.9,35.8,48.2,97.9,2.3
17.2,21.5,46.1,33.3,47.6,96.3,2.3
16.4,22.9,47.6,37.0,50.1,100.5,2.3
17.6,22.3,45.1,36.5,43.9,92.5,2.3
18.4,22.6,46.0,32.2,46.7,92.2,2.3
17.4,22.0,45.7,35.0,49.7,99.3,2.3
16.7,23.4,43.5,35.3,46.7,96.4,2.3
17.1,24.2,48.2,35.2,47.3,98.6,2.3
16.4,23.5,47.2,36.1,50.6,97.3,2.3
15.5,23.9,46.2,33.7,48.6,96.3,2.3
16.4,23.7,46.7,37.2,44.5,94.8,2.3
16.7,21.2,45.3,34.6,45.5,93.0,2.3
17.6,21.0,44.7,34.9,45.8,101.3,2.3
15.9,23.1,43.8,30.7,46.2,98.7,2.3
16.2,21.3,44.4,35.3,46.7,96.5,2.3
16.7,22.7,43.5,35.6,48.6,99.6,2.3
17.0,24.1,47.0,33.7,47.7,102.3,2.3
15.4,22.2,45.8,33.1,48.0,97.1,2.3
15.4,21.2,47.9,36.5,43.6,100.1,2.3
18.4,23.2,45.9,35.2,50.3,98.8,2.3
15.7,22.3,43.0,34.6,50.2,94.1,2.3
17.2,22.1,48.6,34.3,44.0,96.6,2.3
14.6,25.3,46.0,31.9,50.1,98.5,2.3
16.2,22.7,45.7,32.8,44.9,95.8,2.3
16.2,20.2,46.7,35.1,47.0,90.6,2.3
15.4,23.7,45.5,32.7,48.1,100.4,2.3
17.0,22.2,44.9,36.8,47.0,93.9,2.3
14.4,22.6,47.1,33.4,47.7,100.5,2.3
16.2,23.2,46.3,34.4,50.4,96.2,2.3
15.7,22.1,48.2,33.5,48.8,94.5,2.3
14.7,22.9,46.8,29.3,48.6,96.5,2.3
15.6,23.3,47.2,35.0,42.5,100.5,2.3
14.3,23.8,45.0,32.8,49.1,95.3,2.3
16.3,23.1,44.1,32.8,47.0,97.3,2.3
16.2,23.7,46.2,33.0,47.5,102.1,2.3
16.9,24.0,46.7,33.4,47.3,95.9,2.3
15.6,22.9,45.6,35.9,45.8,95.2,2.3
17.0,20.5,49.3,35.2,45.9,96.6,2.3
16.4,22.5,47.6,33.7,43.7,96.9,2.3
16.2,24.4,43.9,35.3,48.4,97.8,2.3
15.5,20.8,46.4,34.7,48.5,100.1,2.4
17.5,25.0,45.6,35.0,51.4,93.9,2.4
16.9,22.0,48.5,32.6,47.6,97.7,2.4
14.1,22.4,50.8,32.9,44.9,101.0,2.4
16.3,22.8,47.1,34.5,46.1,97.5,2.4
17.1,22.0,48.1,33.0,51.8,98.4,2.4
15.3,23.3,45.5,34.2,48.9,94.9,2.4
15.7,22.5,46.2,33.3,47.1,99.8,2.4
15.6,23.6,47.6,31.7,45.4,98.7,2.4
17.0,22.0,49.8,35.6,52.0,97.4,2.4
17.7,22.4,45.1,37.5,48.4,98.8,2.4
15.5,20.9,46.5,35.9,48.5,98.2,2.4
15.6,21.5,46.0,35.9,47.9,102.0,2.4
17.7,24.6,46.1,34.4,49.9,95.4,2.4
17.4,23.5,46.1,36.4,46.3,100.9,2.4
15.4,22.7,45.5,30.1,47.1,95.8,2.4
17.5,21.9,45.4,33.3,46.3,95.5,2.4
13.3,23.6,48.3,33.9,49.1,99.1,2.4
15.6,22.8,43.2,33.0,46.4,96.3,2.4
17.6,22.9,43.4,32.9,51.5,94.9,2.4
16.6,23.1,47.2,35.5,48.2,96.3,2.4
15.9,25.5,47.2,36.3,49.2,93.6,2.4
16.6,22.6,43.5,38.1,51.2,98.4,2.4
16.7,23.4,44.8,34.6,50.8,95.9,2.4
15.0,21.7,48.3,33.9,46.4,95.2,2.4
17.5,23.9,47.4,33.2,48.6,96.2,2.4
18.3,21.8,47.1,35.0,47.9,94.1,2.4
17.1,24.3,45.4,36.1,47.3,100.8,2.4
16.4,22.2,43.3,32.6,47.4,98.3,2.4
16.9,23.2,46.7,35.2,52.3,99.1,2.4
15.5,22.3,46.6,35.9,49.2,96.7,2.4
17.2,23.9,46.2,34.1,49.0,99.0,2.4
14.5,24.0,46.3,32.6,47.7,97.8,2.4
16.9,22.5,45.9,35.1,51.1,95.8,2.4
17.0,20.7,47.9,33.4,51.7,96.6,2.4
16.7,24.9,43.5,36.1,48.6,97.0,2.4
16.1,22.2,46.1,35.7,46.6,97.6,2.4
16.9,22.3,44.4,32.8,50.4,92.3,2.4
14.9,23.1,44.7,34.8,45.3,97.8,2.4
16.3,21.1,47.1,33.9,49.0,95.4,2.4
17.1,20.8,48.4,37.2,54.0,98.0,2.4
16.1,22.1,46.8,35.7,47.4,101.4,2.4
15.3,21.7,47.3,32.9,50.4,94.5,2.4
16.3,21.4,44.4,33.6,45.7,95.9,2.4
16.0,22.2,47.1,37.7,46.7,96.7,2.4
17.6,22.5,48.7,36.0,47.8,94.0,2.4
16.0,22.4,46.6,31.2,48.8,103.4,2.4
15.7,23.8,46.8,33.7,47.8,96.7,2.4
15.6,22.0,46.1,34.9,50.0,96.9,2.4
18.5,19.8,45.9,33.0,47.4,96.1,2.4
16.4,21.9,42.8,37.5,49.3,101.2,2.5
15.8,24.3,49.7,35.3,47.5,96.5,2.5
16.8,24.4,45.8,35.3,48.1,95.4,2.5
14.8,22.8,46.8,31.4,50.4,101.9,2.5
15.9,21.1,43.1,34.8,47.4,102.0,2.5
15.9,22.1,44.5,36.8,50.3,99.2,2.5
16.0,23.2,46.1,34.3,44.8,96.7,2.5
16.8,22.6,44.7,36.1,51.7,102.1,2.5
18.3,21.1,44.4,36.1,52.4,100.0,2.5
16.3,21.7,45.8,36.2,49.5,102.9,2.5
17.2,23.0,43.5,32.7,46.8,101.8,2.5
15.8,21.5,46.2,34.4,46.6,102.5,2.5
14.9,20.4,46.1,34.0,52.0,96.7,2.5
17.0,22.6,48.2,34.1,46.2,102.5,2.5
17.2,23.0,46.4,35.9,47.4,95.8,2.5
16.2,24.0,45.1,33.7,50.2,96.7,2.5
16.6,22.5,45.4,32.6,46.9,101.9,2.5
15.6,21.7,45.2,35.7,47.3,99.8,2.5
12.6,21.8,45.5,34.4,48.9,99.6,2.5
17.8,21.3,46.7,37.2,46.9,99.4,2.5
15.6,25.3,47.4,33.7,48.0,96.5,2.5
16.7,23.7,44.8,36.6,50.0,94.1,2.5
15.9,21.5,45.6,36.4,50.4,104.5,2.5
16.4,22.2,46.1,37.1,45.4,92.7,2.5
18.4,21.6,44.5,36.4,47.9,93.3,2.5
16.8,23.7,45.6,36.6,48.2,98.7,2.5
15.5,24.0,46.3,37.2,44.7,101.2,2.5
17.0,21.6,45.4,33.9,50.3,101.6,2.5
14.3,22.9,45.7,34.9,48.9,101.2,2.5
12.7,21.9,44.8,33.7,47.5,98.3,2.5
17.9,23.6,47.5,35.7,47.4,98.3,2.5
16.1,23.0,45.2,34.2,50.1,98.2,2.5
17.8,23.6,44.0,37.2,48.7,100.8,2.5
15.2,21.9,47.6,35.6,50.7,101.6,2.5
16.3,21.9,44.8,33.8,48.4,103.7,2.5
16.7,23.9,47.1,35.4,46.4,98.2,2.5
15.1,22.4,48.3,33.9,51.4,98.0,2.5
14.9,21.3,43.7,35.2,49.0,103.8,2.5
16.6,22.2,46.1,35.5,49.4,103.6,2.5
16.9,22.8,47.1,35.1,45.7,107.1,2.5
16.9,23.0,44.9,36.0,48.7,97.0,2.5
17.7,22.6,46.6,37.1,49.6,101.1,2.5
16.5,21.6,49.6,36.2,47.6,99.1,2.5
17.1,21.6,47.0,32.8,46.4,102.9,2.5
14.6,23.3,47.9,37.2,49.0,106.7,2.5
16.8,23.4,47.0,36.3,48.6,98.1,2.5
15.4,22.2,47.7,36.5,47.0,98.2,2.5
16.4,22.7,45.2,35.1,54.2,99.5,2.5
15.5,21.7,45.5,34.9,51.3,99.3,2.5
16.0,22.7,43.4,35.1,51.4,94.9,2.5
16.5,22.4,45.3,34.1,48.3,97.8,2.6
14.4,23.2,45.9,36.0,53.1,105.1,2.6
16.5,22.0,44.8,35.6,48.9,100.5,2.6
17.2,22.1,46.6,34.7,50.1,102.0,2.6
16.1,22.8,44.4,36.8,52.0,100.0,2.6
16.1,22.8,44.9,35.1,51.1,102.1,2.6
16.0,22.5,45.5,36.4,49.5,99.3,2.6
17.8,21.7,46.2,36.3,48.9,105.0,2.6
16.0,23.0,46.9,34.4,49.0,106.2,2.6
15.5,19.7,46.9,33.9,47.9,96.6,2.6
15.7,22.1,44.6,38.4,49.9,95.9,2.6
17.1,24.1,49.0,36.7,51.3,96.7,2.6
16.0,22.0,46.6,39.7,47.8,108.7,2.6
16.1,23.9,46.0,34.5,50.4,96.2,2.6
14.7,23.2,45.7,35.6,50.6,103.7,2.6
15.3,20.7,45.3,35.6,51.8,96.6,2.6
15.9,21.1,44.4,37.4,49.4,96.2,2.6
16.3,22.7,45.7,35.9,47.3,103.5,2.6
16.9,22.4,46.9,36.5,51.2,101.2,2.6
15.9,21.9,46.8,34.9,49.7,99.4,2.6
17.6,22.3,47.0,37.3,52.0,96.4,2.6
14.9,23.2,48.1,34.0,49.9,101.1,2.6
17.2,20.4,49.8,35.1,52.4,99.6,2.6
16.6,21.1,46.8,37.6,49.1,94.3,2.6
17.1,23.6,46.1,36.0,47.8,103.5,2.6
14.9,23.9,49.3,33.2,51.6,99.4,2.6
16.0,22.0,48.6,35.3,54.0,100.5,2.6
15.9,23.6,45.6,34.2,51.1,98.5,2.6
17.0,21.9,45.4,34.8,51.9,105.0,2.6
17.1,22.7,43.6,35.5,50.3,97.2,2.6
18.2,22.8,44.9,34.0,48.6,100.0,2.6
16.9,23.8,46.1,35.7,48.9,101.2,2.6
18.5,22.9,44.9,37.8,51.5,98.1,2.6
15.8,22.4,47.2,37.8,53.8,100.1,2.6
17.8,22.3,47.7,37.3,50.8,100.5,2.6
16.3,22.2,48.1,34.9,50.5,99.8,2.6
17.3,20.2,45.3,34.3,48.2,106.5,2.6
16.2,21.5,46.2,32.6,47.7,90.8,2.6
17.8,24.0,47.3,32.9,49.8,98.9,2.6
14.9,22.5,49.5,34.9,53.6,95.5,2.6
17.3,23.5,47.3,35.1,49.3,95.9,2.6
16.4,21.5,44.4,34.4,48.2,96.3,2.6
16.8,22.7,45.7,34.7,48.7,98.6,2.6
16.5,21.1,47.6,35.6,47.7,100.5,2.6
17.3,22.6,45.6,34.0,49.8,103.7,2.6
15.5,20.5,46.4,36.8,51.0,98.3,2.6
17.7,21.9,47.8,35.2,51.9,101.3,2.6
16.6,20.6,45.7,34.6,51.2,95.8,2.6
17.2,22.5,45.4,36.0,48.6,97.0,2.6
17.5,23.0,46.4,35.4,54.9,103.6,2.6
14.5,21.4,43.2,32.2,48.9,100.0,2.7
16.8,21.6,43.2,35.7,51.9,104.7,2.7
16.2,21.6,46.6,33.1,47.7,98.8,2.7
15.2,23.0,46.1,35.4,50.3,104.8,2.7
15.4,22.4,46.5,35.3,52.0,104.1,2.7
18.2,21.1,45.9,35.4,51.4,102.3,2.7
16.7,22.0,45.0,34.4,51.5,96.6,2.7
16.3,23.2,48.6,33.6,49.3,104.7,2.7
15.8,22.1,43.8,36.2,49.2,102.8,2.7
15.3,23.0,45.0,37.2,49.5,102.0,2.7
16.3,20.8,50.6,35.6,52.0,103.8,2.7
16.2,22.0,48.0,38.4,51.7,99.2,2.7
17.5,24.2,48.4,36.2,48.7,100.0,2.7
16.6,22.6,46.3,36.9,49.8,91.7,2.7
17.0,23.3,47.5,35.9,47.6,103.1,2.7
16.4,22.7,47.6,36.7,49.5,101.2,2.7
16.4,18.8,48.0,36.7,54.4,108.0,2.7
15.9,23.2,43.8,35.0,48.7,100.2,2.7
17.0,21.8,44.7,34.2,51.0,103.3,2.7
14.3,22.4,44.1,35.0,50.8,105.9,2.7
16.8,23.5,45.4,33.3,52.2,103.1,2.7
17.1,22.6,43.4,35.1,54.6,100.7,2.7
17.1,23.5,44.6,32.7,49.1,104.6,2.7
16.3,22.4,48.1,38.2,48.3,102.1,2.7
15.9,26.0,47.1,34.7,47.6,101.5,2.7
15.3,22.7,48.3,35.2,48.2,95.8,2.7
16.6,22.1,48.7,37.5,50.7,100.5,2.7
16.1,23.4,44.5,35.5,50.1,94.8,2.7
17.4,22.1,45.5,34.6,51.9,97.0,2.7
17.1,21.7,47.8,34.1,51.0,108.8,2.7
13.4,21.6,47.5,35.3,53.0,103.8,2.7
14.4,22.5,49.4,36.0,48.2,99.5,2.7
17.4,24.6,46.7,37.0,54.7,104.1,2.7
15.9,21.9,46.3,35.5,52.3,105.8,2.7
18.2,22.0,45.7,37.0,51.9,97.2,2.7
15.5,23.5,47.3,34.4,55.7,102.2,2.7
15.8,20.6,44.1,35.5,52.0,98.9,2.7
18.0,22.4,45.8,38.5,53.6,101.6,2.7
17.5,22.7,47.2,35.9,50.0,100.8,2.7
15.0,22.7,45.9,37.3,51.1,98.5,2.7
15.0,20.6,46.6,35.9,50.2,109.2,2.7
17.6,21.1,45.3,35.2,50.9,103.2,2.7
17.3,22.5,44.8,36.4,51.8,108.0,2.7
16.6,21.3,45.5,34.9,49.1,103.4,2.7
16.7,24.2,46.5,37.1,51.0,103.1,2.7
13.9,22.4,45.8,35.2,48.4,102.2,2.7
16.6,22.7,46.6,33.7,48.4,103.9,2.7
14.9,24.2,46.7,35.9,52.8,101.8,2.7
16.2,24.2,45.6,34.9,47.8,102.6,2.7
16.5,23.3,46.1,34.5,52.1,104.2,2.7
16.2,23.9,42.6,36.5,53.2,104.5,2.8
16.3,22.4,47.6,39.3,47.5,100.8,2.8
16.6,22.5,46.3,34.6,51.4,100.9,2.8
17.3,22.0,44.8,35.4,49.9,103.5,2.8
15.4,20.8,45.3,37.1,50.8,105.2,2.8
17.1,22.3,46.4,35.0,50.7,100.8,2.8
16.8,21.8,48.2,36.4,51.3,102.6,2.8
15.5,23.3,49.4,35.8,48.3,103.2,2.8
16.8,21.7,45.2,35.0,51.6,97.4,2.8
16.4,21.7,48.5,34.5,52.4,105.7,2.8
15.2,23.6,45.6,35.1,46.6,104.0,2.8
15.8,22.5,48.4,37.1,53.7,99.0,2.8
15.8,22.7,43.8,35.2,49.7,104.1,2.8
16.3,24.5,44.1,39.5,48.2,101.7,2.8
15.4,23.2,45.0,39.2,52.4,103.9,2.8
15.8,21.6,47.2,38.1,49.0,102.3,2.8
17.4,25.1,45.5,37.0,53.3,97.3,2.8
16.0,23.6,44.9,39.0,50.4,98.6,2.8
16.9,22.8,46.8,35.3,52.1,102.7,2.8
17.6,22.0,47.8,35.5,51.4,99.9,2.8
15.3,20.8,44.5,35.8,51.3,101.2,2.8
15.9,21.7,44.0,35.7,51.3,105.7,2.8
17.0,23.2,48.7,36.9,53.7,106.5,2.8
15.0,21.9,46.1,36.7,52.2,101.7,2.8
17.5,22.2,45.7,36.3,54.8,102.9,2.8
16.3,23.5,46.4,34.2,49.4,104.3,2.8
17.5,22.2,47.2,35.7,55.2,102.4,2.8
16.4,23.8,46.9,37.6,51.3,95.6,2.8
16.7,23.0,47.9,36.8,47.5,100.5,2.8
15.4,20.3,46.8,36.0,51.7,102.7,2.8
17.0,22.3,47.0,36.4,49.7,97.8,2.8
16.1,24.0,43.7,39.0,46.6,100.6,2.8
16.1,22.2,47.7,39.1,51.2,102.4,2.8
15.6,25.2,46.8,34.6,51.6,101.5,2.8
18.1,20.1,45.0,37.1,53.2,98.4,2.8
16.2,22.6,44.7,35.5,52.1,103.3,2.8
17.9,21.8,47.2,33.9,52.4,104.8,2.8
16.5,22.3,47.6,35.8,53.3,105.7,2.8
16.0,24.1,47.8,37.2,49.5,98.7,2.8
15.2,23.1,45.2,34.5,48.6,106.5,2.8
16.5,22.8,43.2,38.6,49.4,106.1,2.8
15.2,21.5,47.0,32.9,50.5,103.4,2.8
15.2,22.2,48.6,37.0,50.6,105.0,2.8
14.9,23.4,48.6,36.3,51.2,109.6,2.8
15.7,23.0,47.3,35.7,52.6,99.7,2.8
17.5,22.3,47.5,37.9,54.0,102.5,2.8
14.7,21.5,46.3,36.5,51.8,103.9,2.8
16.7,21.5,48.2,33.6,52.6,105.3,2.8
16.5,23.1,45.9,39.2,51.2,104.2,2.8
14.9,22.5,44.4,36.1,52.7,109.7,2.8
17.0,24.3,47.1,39.0,50.4,99.6,2.9
15.5,22.5,45.4,36.9,52.4,108.2,2.9
16.9,23.2,46.3,34.8,50.9,107.2,2.9
16.5,22.9,46.6,37.4,49.9,103.0,2.9
17.2,23.0,45.8,36.4,50.8,113.4,2.9
14.5,21.0,45.2,35.9,51.3,104.8,2.9
14.9,21.8,48.4,36.9,51.1,108.4,2.9
15.6,22.5,45.7,36.8,53.3,110.1,2.9
16.9,23.2,45.6,33.7,50.9,106.6,2.9
16.6,22.8,48.3,35.6,54.1,102.4,2.9
16.9,22.5,45.4,38.0,48.9,100.4,2.9
17.1,22.2,48.5,38.1,51.9,104.1,2.9
15.0,22.2,47.8,35.4,52.8,108.2,2.9
17.3,23.8,44.4,38.3,51.2,101.7,2.9
16.0,23.3,45.1,34.8,52.0,105.8,2.9
16.1,21.4,43.4,33.4,50.7,104.1,2.9
17.5,21.8,44.4,35.8,53.3,107.7,2.9
14.3,21.7,46.1,37.3,52.8,105.1,2.9
16.7,22.7,47.2,37.3,53.1,104.3,2.9
16.4,23.1,46.5,37.1,51.7,103.1,2.9
15.7,23.5,44.1,37.2,54.2,104.7,2.9
15.1,22.2,45.2,35.0,52.2,105.5,2.9
16.3,22.0,44.1,35.9,53.4,106.0,2.9
17.1,22.5,45.7,38.7,52.7,101.8,2.9
16.5,22.1,47.1,37.2,50.1,102.9,2.9
14.3,22.4,45.1,39.4,50.0,98.9,2.9
14.5,22.9,46.3,36.9,51.8,99.1,2.9
17.6,22.9,44.9,36.0,48.2,105.3,2.9
16.4,20.8,45.7,36.7,48.8,107.1,2.9
15.1,23.2,45.2,37.3,50.9,103.1,2.9
16.0,24.3,46.8,33.4,50.8,106.9,2.9
16.1,22.3,46.9,37.1,51.3,103.7,2.9
18.4,23.1,46.6,35.2,49.4,100.5,2.9
16.6,21.6,46.4,35.0,52.8,103.6,2.9
14.8,23.2,47.2,36.0,50.0,106.1,2.9
16.6,22.4,46.8,35.3,49.9,103.2,2.9
17.2,24.3,46.7,39.2,50.5,98.8,2.9
17.0,21.2,45.7,35.0,51.3,100.6,2.9
16.5,22.6,44.6,35.1,51.8,102.8,2.9
18.6,23.1,45.9,37.5,51.4,101.0,2.9
16.7,21.6,45.9,38.7,55.2,103.5,2.9
16.9,22.8,44.3,36.3,51.9,104.9,2.9
